本站,下站,线路,运行时间
莘庄,外环路,1,2
外环路,莲花路,1,2
莲花路,锦江乐园,1,3
锦江乐园,上海南站,1,3
上海南站,漕宝路,1,3
漕宝路,上海体育馆,1,3
上海体育馆,徐家汇,1,2
徐家汇,衡山路,1,2
衡山路,常熟路,1,2
常熟路,陕西南路,1,2
陕西南路,一大会址·黄陂南路,1,2
一大会址·黄陂南路,人民广场,1,3
人民广场,新闸路,1,2
新闸路,汉中路,1,2
汉中路,上海火车站,1,3
上海火车站,中山北路,1,2
中山北路,延长路,1,3
延长路,上海马戏城,1,2
上海马戏城,汶水路,1,2
汶水路,彭浦新村,1,3
彭浦新村,共康路,1,3
共康路,通河新村,1,2
通河新村,呼兰路,1,2
呼兰路,共富新村,1,3
共富新村,宝安公路,1,3
宝安公路,友谊西路,1,2
友谊西路,富锦路,1,2
徐泾东,虹桥火车站,2,3
虹桥火车站,虹桥2号航站楼,2,2
虹桥2号航站楼,淞虹路,2,7
淞虹路,北新泾,2,2
北新泾,威宁路,2,2
威宁路,娄山关路,2,3
娄山关路,中山公园,2,3
中山公园,江苏路,2,2
江苏路,静安寺,2,3
静安寺,南京西路,2,3
南京西路,人民广场,2,3
人民广场,南京东路,2,2
南京东路,陆家嘴,2,3
陆家嘴,东昌路,2,2
东昌路,世纪大道,2,3
世纪大道,上海科技馆,2,2
上海科技馆,世纪公园,2,3
世纪公园,龙阳路,2,2
龙阳路,张江高科,2,4
张江高科,金科路,2,2
金科路,广兰路,2,4
广兰路,唐镇,2,4
唐镇,创新中路,2,3
创新中路,华夏东路,2,3
华夏东路,川沙,2,4
川沙,凌空路,2,3
凌空路,远东大道,2,5
远东大道,海天三路,2,6
海天三路,浦东国际机场,2,3
上海南站,石龙路,3,2
石龙路,龙漕路,3,3
龙漕路,漕溪路,3,2
漕溪路,宜山路,3,3
宜山路,虹桥路,3,2
虹桥路,延安西路,3,3
延安西路,中山公园,3,2
中山公园,金沙江路,3,3
金沙江路,曹杨路,3,2
曹杨路,镇坪路,3,3
镇坪路,中潭路,3,2
中潭路,上海火车站,3,3
上海火车站,宝山路,3,4
宝山路,东宝兴路,3,2
东宝兴路,虹口足球场,3,2
虹口足球场,赤峰路,3,3
赤峰路,大柏树,3,2
大柏树,江湾镇,3,3
江湾镇,殷高西路,3,2
殷高西路,长江南路,3,3
长江南路,淞发路,3,3
淞发路,张华浜,3,2
张华浜,淞滨路,3,3
淞滨路,水产路,3,2
水产路,宝杨路,3,3
宝杨路,友谊路,3,2
友谊路,铁力路,3,3
铁力路,江杨北路,3,3
宜山路,虹桥路,4,3
虹桥路,延安西路,4,2
延安西路,中山公园,4,2
中山公园,金沙江路,4,3
金沙江路,曹杨路,4,2
曹杨路,镇坪路,4,3
镇坪路,中潭路,4,2
中潭路,上海火车站,4,3
上海火车站,宝山路,4,4
宝山路,海伦路,4,3
海伦路,临平路,4,2
临平路,大连路,4,2
大连路,杨树浦路,4,2
杨树浦路,浦东大道,4,2
浦东大道,世纪大道,4,3
世纪大道,浦电路,4,2
浦电路,蓝村路,4,2
蓝村路,塘桥,4,3
塘桥,南浦大桥,4,3
南浦大桥,西藏南路,4,2
西藏南路,鲁班路,4,2
鲁班路,大木桥路,4,3
大木桥路,东安路,4,2
东安路,上海体育场,4,2
上海体育场,上海体育馆,4,2
上海体育馆,宜山路,4,2
莘庄,春申路,5,2
春申路,银都路,5,2
银都路,颛桥,5,4
颛桥,北桥,5,4
北桥,剑川路,5,3
剑川路,东川路,5,2
东川路,江川路,5,5
江川路,西渡,5,6
西渡,萧塘,5,3
萧塘,奉浦大道,5,3
奉浦大道,环城东路,5,4
环城东路,望园路,5,2
望园路,金海湖,5,3
金海湖,奉贤新城,5,2
东川路,金平路,5,3
金平路,华宁路,5,2
华宁路,文井路,5,3
文井路,闵行开发区,5,2
东方体育中心,灵岩南路,6,2
灵岩南路,上南路,6,2
上南路,华夏西路,6,2
华夏西路,高青路,6,3
高青路,东明路,6,2
东明路,高科西路,6,3
高科西路,临沂新村,6,2
临沂新村,上海儿童医学中心,6,3
上海儿童医学中心,蓝村路,6,3
蓝村路,浦电路,6,2
浦电路,世纪大道,6,3
世纪大道,源深体育中心,6,2
源深体育中心,民生路,6,2
民生路,北洋泾路,6,2
北洋泾路,德平路,6,3
德平路,云山路,6,2
云山路,金桥路,6,3
金桥路,博兴路,6,2
博兴路,五莲路,6,2
五莲路,巨峰路,6,2
巨峰路,东靖路,6,3
东靖路,五洲大道,6,2
五洲大道,洲海路,6,2
洲海路,外高桥保税区南站,6,3
外高桥保税区南站,航津路,6,3
航津路,外高桥保税区北站,6,2
外高桥保税区北站,港城路,6,3
罗南新村,美兰湖,7,2
潘广路,罗南新村,7,4
刘行,潘广路,7,2
顾村公园,刘行,7,3
祁华路,顾村公园,7,3
上海大学,祁华路,7,3
南陈路,上海大学,7,3
上大路,南陈路,7,2
场中路,上大路,7,2
大场镇,场中路,7,3
行知路,大场镇,7,2
大华三路,行知路,7,2
新村路,大华三路,7,2
岚皋路,新村路,7,2
镇坪路,岚皋路,7,3
长寿路,镇坪路,7,2
昌平路,长寿路,7,2
静安寺,昌平路,7,3
常熟路,静安寺,7,2
肇嘉浜路,常熟路,7,3
东安路,肇嘉浜路,7,2
龙华中路,东安路,7,2
后滩,龙华中路,7,3
长清路,后滩,7,2
耀华路,长清路,7,2
云台路,耀华路,7,2
高科西路,云台路,7,2
杨高南路,高科西路,7,3
锦绣路,杨高南路,7,2
芳华路,锦绣路,7,3
龙阳路,芳华路,7,2
花木路,龙阳路,7,3
沈杜公路,联航路,8,2
联航路,江月路,8,2
江月路,浦江镇,8,2
浦江镇,芦恒路,8,4
芦恒路,凌兆新村,8,3
凌兆新村,东方体育中心,8,4
东方体育中心,杨思,8,2
杨思,成山路,8,2
成山路,耀华路,8,2
耀华路,中华艺术宫,8,2
中华艺术宫,西藏南路,8,3
西藏南路,陆家浜路,8,2
陆家浜路,老西门,8,2
老西门,大世界,8,2
大世界,人民广场,8,2
人民广场,曲阜路,8,2
曲阜路,中兴路,8,2
中兴路,西藏北路,8,3
西藏北路,虹口足球场,8,2
虹口足球场,曲阳路,8,3
曲阳路,四平路,8,2
四平路,鞍山新村,8,2
鞍山新村,江浦路,8,2
江浦路,黄兴路,8,2
黄兴路,延吉中路,8,2
延吉中路,黄兴公园,8,2
黄兴公园,翔殷路,8,2
翔殷路,嫩江路,8,2
嫩江路,市光路,8,2
松江南站,醉白池,9,4
醉白池,松江体育中心,9,3
松江体育中心,松江新城,9,3
松江新城,松江大学城,9,3
松江大学城,洞泾,9,5
洞泾,佘山,9,3
佘山,泗泾,9,4
泗泾,九亭,9,7
九亭,中春路,9,4
中春路,七宝,9,2
七宝,星中路,9,3
星中路,合川路,9,3
合川路,漕河泾开发区,9,3
漕河泾开发区,桂林路,9,3
桂林路,宜山路,9,3
宜山路,徐家汇,9,4
徐家汇,肇嘉浜路,9,2
肇嘉浜路,嘉善路,9,2
嘉善路,打浦桥,9,2
打浦桥,马当路,9,3
