站名,x,y
爱国路,2247,1080
安亭,807,361
鞍山新村,2034,978
白银路,975,237
宝安公路,1674,259
宝山路,1720,1038
宝杨路,2011,340
北蔡,1980,1759
北桥,927,1984
北新泾,951,1041
北洋泾路,2265,1212
北中路,2088,1741
博兴路,2419,1123
曹路,2935,1258
曹杨路,1239,955
漕宝路,1143,1597
漕河泾开发区,945,1492
漕溪路,1192,1533
漕盈路,231,1129
昌吉东路,901,321
昌平路,1408,1122
昌邑路,2197,1194
常熟路,1408,1287
场中路,1480,628
陈春路,2025,1782
陈翔公路,975,423
成山路,1600,1759
赤峰路,1893,858
川沙,2491,1719
创新中路,2419,1656
春申路,927,1800
打浦桥,1530,1389
大柏树,1938,793
大场镇,1480,690
大渡河路,1123,954
大华三路,1480,813
大连路,1986,1060
大木桥路,1480,1471
大世界,1674,1287
丹阳路,2158,1144
德平路,2317,1188
滴水湖,2496,2304
迪士尼,2374,1965
淀山湖大道,183,1228
定边路,979,786
东安路,1408,1471
东宝兴路,1794,957
东昌路,1938,1266
东城一路,1543,2266
东川路,927,2128
东方绿舟,0,1315
东方体育中心,1456,1882
东靖路,2419,999
东兰路,796,1597
东陆路,2364,1080
东明路,1744,1759
洞泾,421,1617
繁荣路,1987,2140
芳甸路,2289,1387
芳华路,2034,1636
芳芯路,2107,1683
丰翔路,1399,481
丰庄,999,874
枫桥路,1239,855
封浜,754,768
奉浦大道,927,2466
奉贤新城,1188,2605
抚顺路,2058,910
复旦大学,2010,774
复兴岛,2305,1080
富锦路,1674,115
港城路,2419,546
高科西路,1744,1698
高桥,2338,546
高桥西,2281,546
高青路,1744,1842
共富新村,1674,340
共康路,1674,546
古浪路,1350,615
顾村公园,1359,382
顾戴路,729,1597
顾唐路,2790,1258
光明路,693,361
广兰路,2322,1617
桂林公园,1039,1597
桂林路,1039,1492
桂桥路,3000,1359
国帆路,2160,546
国际客运中心,1839,1131
国权路,2034,843
海伦路,1840,1044
海天三路,2491,1842
汉中路,1576,1078
航津路,2419,670
航头,1987,2370
航头东,2136,2187
航中路,807,1308
合川路,876,1491
鹤沙航城,2136,2113
鹤涛路,1989,2250
衡山路,1312,1345
红宝石路,1039,1327
虹漕路,975,1597
虹口足球场,1852,897
虹梅路,861,1597
虹梅南路,1138,1860
虹桥1号航站楼,867,1179
虹桥2号航站楼,807,1156
虹桥火车站,756,1156
虹桥路,1143,1308
虹莘路,654,1597
后滩,1456,1656
呼兰路,1674,403
花木路,2178,1575
花桥,634,361
华东理工大学,1176,1731
华泾西,1176,1831
华宁路,801,2190
华鹏路,1828,1759
华夏东路,2443,1678
华夏西路,1720,1923
华夏中路,2134,1806
淮海中路,1513,1255
环城东路,1050,2508
黄兴公园,2202,855
黄兴路,2155,978
黄杨路,2512,1359
汇金路,348,1128
汇臻路,1495,2298
惠南,2319,2220
惠南东,2319,2284
基隆路,2485,546
嘉定北,1023,115
嘉定西,975,175
嘉定新城,975,300
嘉善路,1480,1389
嘉松中路,460,1128
嘉怡路,927,768
剑川路,927,2047
江川路,927,2260
江宁路,1486,1057
江浦公园,2050,1060
江浦路,2082,978
江苏路,1239,1164
江湾体育场,2106,772
江湾镇,1938,732
江杨北路,1962,115
江月路,1456,2068
交通大学,1192,1308
金海湖,1188,2563
金海路,2716,1258
金吉路,2643,1258
金京路,2598,1080
金科路,2275,1617
金平路,888,2190
金桥,2547,1282
金桥路,2419,1141
金沙江路,1165,997
金沙江西路,951,874
金粤路,2892,1359
金运路,901,874
锦江乐园,1071,1678
锦秋路,1399,415
锦绣路,1986,1698
景西路,1093,1860
静安寺,1408,1204
九亭,576,1491
巨峰路,2419,1080
康桥,1986,2026
康新公路,2292,1965
岚皋路,1408,874
蓝村路,1960,1491
